region,category,parameter,mode,powertrain,year,unit,value
United Kingdom,Historical,EV chargers,,Publicly available slow,2017,,13062
United Kingdom,Historical,EV chargers,,Publicly available fast,2018,,2692
United Kingdom,Historical,EV chargers,,Publicly available slow,2018,,14732
United Kingdom,Historical,EV chargers,,Publicly available fast,2019,,4735
United Kingdom,Historical,EV chargers,,Publicly available slow,2019,,22359
United Kingdom,Historical,EV chargers,,Publicly available fast,2020,,6248
United Kingdom,Historical,EV chargers,,Publicly available slow,2020,,27222
USA,Historical,EV chargers,,Publicly available fast,2015,,3524
USA,Historical,EV chargers,,Publicly available slow,2015,,28150
USA,Historical,EV chargers,,Publicly available fast,2016,,3079
USA,Historical,EV chargers,,Publicly available slow,2016,,35089
USA,Historical,EV chargers,,Publicly available fast,2017,,3436
USA,Historical,EV chargers,,Publicly available slow,2017,,39601
USA,Historical,EV chargers,,Publicly available fast,2018,,4242
USA,Historical,EV chargers,,Publicly available slow,2018,,50258
USA,Historical,EV chargers,,Publicly available fast,2019,,13093
USA,Historical,EV chargers,,Publicly available slow,2019,,64265
USA,Historical,EV chargers,,Publicly available fast,2020,,16718
USA,Historical,EV chargers,,Publicly available slow,2020,,82263
World,Historical,EV chargers,,Publicly available fast,2010,,312
World,Historical,EV chargers,,Publicly available slow,2010,,3681.919921875
World,Historical,EV chargers,,Publicly available fast,2011,,866
World,Historical,EV chargers,,Publicly available slow,2011,,10354.08984375
World,Historical,EV chargers,,Publicly available fast,2012,,1855
World,Historical,EV chargers,,Publicly available slow,2012,,30197.419921875
World,Historical,EV chargers,,Publicly available fast,2013,,4003
World,Historical,EV chargers,,Publicly available slow,2013,,44646.33984375
World,Historical,EV chargers,,Publicly available fast,2014,,15000.7900390625
World,Historical,EV chargers,,Publicly available slow,2014,,91869.9609375
World,Historical,EV chargers,,Publicly available fast,2015,,27596
World,Historical,EV chargers,,Publicly available slow,2015,,156695
World,Historical,EV chargers,,Publicly available fast,2016,,75443.328125
World,Historical,EV chargers,,Publicly available slow,2016,,256313.703125
World,Historical,EV chargers,,Publicly available fast,2017,,109349.703125
World,Historical,EV chargers,,Publicly available slow,2017,,331777.3125
