region,parameter,powertrain,year,unit,value
Norway,EV sales,FCEV,2014,N/A,4.0
Norway,EV sales,PHEV,2014,N/A,1677.0
Norway,EV sales share,EV,2014,percent,14.707
Norway,EV sales,BEV,2015,N/A,25779.0
Norway,EV sales,FCEV,2015,N/A,9.0
Norway,EV sales,PHEV,2015,N/A,7947.0
Norway,EV sales share,EV,2015,percent,22.664
Norway,EV sales,BEV,2016,N/A,24222.0
Norway,EV sales,FCEV,2016,N/A,20.0
Norway,EV sales,PHEV,2016,N/A,20666.0
Norway,EV sales share,EV,2016,percent,26.14
Norway,EV sales,BEV,2017,N/A,33080.0
Norway,EV sales,FCEV,2017,N/A,30.0
Norway,EV sales,PHEV,2017,N/A,29232.0
Norway,EV sales share,EV,2017,percent,39.255
Norway,EV sales,BEV,2018,N/A,46143.0
Norway,EV sales,FCEV,2018,N/A,45.0
Norway,EV sales,PHEV,2018,N/A,26546.0
Norway,EV sales share,EV,2018,percent,49.138
Norway,EV sales,BEV,2019,N/A,60345.0
Norway,EV sales,FCEV,2019,N/A,29.0
Norway,EV sales,PHEV,2019,N/A,19295.0
Norway,EV sales share,EV,2019,percent,55.934
Norway,EV sales,BEV,2020,N/A,76804.0
Norway,EV sales,FCEV,2020,N/A,16.0
Norway,EV sales,PHEV,2020,N/A,28905.0
Norway,EV sales share,EV,2020,percent,74.752
Poland,EV sales,BEV,2010,N/A,15.0
Poland,EV sales,PHEV,2010,N/A,1.0
Poland,EV sales share,EV,2010,percent,0.002
Poland,EV sales,BEV,2011,N/A,43.0
Poland,EV sales share,EV,2011,percent,0.005
Poland,EV sales,BEV,2012,N/A,44.0
Poland,EV sales,PHEV,2012,N/A,4.0
Poland,EV sales share,EV,2012,percent,0.005
Poland,EV sales,BEV,2013,N/A,45.0
Poland,EV sales,PHEV,2013,N/A,6.0
Poland,EV sales share,EV,2013,percent,0.005
Poland,EV sales,BEV,2014,N/A,135.0
Poland,EV sales,PHEV,2014,N/A,61.0
Poland,EV sales share,EV,2014,percent,0.018
Poland,EV sales,BEV,2015,N/A,176.0
Poland,EV sales,PHEV,2015,N/A,155.0
Poland,EV sales share,EV,2015,percent,0.029
Poland,EV sales,BEV,2016,N/A,329.0
Poland,EV sales,PHEV,2016,N/A,383.0
Poland,EV sales share,EV,2016,percent,0.052
Poland,EV sales,BEV,2017,N/A,920.0
Poland,EV sales,PHEV,2017,N/A,683.0
Poland,EV sales share,EV,2017,percent,0.118
Poland,EV sales,BEV,2018,N/A,1143.0
Poland,EV sales,FCEV,2018,N/A,1.0
Poland,EV sales,PHEV,2018,N/A,951.0
Poland,EV sales share,EV,2018,percent,0.143
Poland,EV sales,BEV,2019,N/A,2326.0
Poland,EV sales,PHEV,2019,N/A,1797.0
Poland,EV sales share,EV,2019,percent,0.278
Poland,EV sales,BEV,2020,N/A,4870.0
Poland,EV sales,PHEV,2020,N/A,5010.0
Poland,EV sales share,EV,2020,percent,0.823
Portugal,EV sales,BEV,2010,N/A,719.0
