region,year,product,lge_per_100km
France,2013,Hybrid,4.71
France,2013,Hydrogen,10.08
France,2013,Large car,5.86
France,2013,Large SUV/Pick-up,9.24
France,2013,LPG,9.15
France,2013,Medium car,5.1
France,2013,Petrol,5.96
France,2013,Small SUV/Pick-up,5.74
France,2013,Van/LCV,6.82
France,2014,All vehicles,5.33
France,2014,City car,4.85
France,2014,CNG,9.23
France,2014,Diesel,5.19
France,2014,Electric,1.46
France,2014,Hybrid,4.65
France,2014,Large car,5.62
France,2014,Large SUV/Pick-up,8.49
France,2014,LPG,7.28
France,2014,Medium car,4.97
France,2014,Petrol,5.78
France,2014,Plug-in,1.87
France,2014,Small SUV/Pick-up,5.44
France,2014,Van/LCV,6.71
France,2015,All vehicles,5.22
France,2015,City car,4.75
France,2015,CNG,9.04
France,2015,Diesel,5.07
France,2015,Electric,1.48
France,2015,Hybrid,4.29
France,2015,Large car,5.36
France,2015,Large SUV/Pick-up,8.14
France,2015,LPG,7.45
France,2015,Medium car,4.86
